model_name, GT, GWP, FEP, GFP
AC0, 4, 1.0, 0.0, 1.0
AC1, 0, 0.0, 0.0, 0.0
AC2, 1, 0.5, 0.0, 0.5
BA0, 4, 1.0, 0.0, 1.0
BA1, 2, 0.8, 0.0, 0.8
BA2, 2, 0.8333333333333334, 0.0, 0.8333333333333334
CI0, 4, 1.0, 0.0, 1.0
CI1, 3, 0.9090909090909091, 0.09090909090909091, 1.0
CI2, 3, 0.8461538461538461, 0.15384615384615385, 1.0
CO0, 0, 0.0, 0.0, 0.0
CO1, 1, 0.0, 0.15, 0.15
CO2, 2, 0.0, 0.7, 0.7
EP0, 4, 1.0, 0.0, 1.0
EP1, 2, 0.375, 0.5, 0.875
EP2, 3, 0.3333333333333333, 0.6666666666666666, 1.0
ES0, 4, 1.0, 0.0, 1.0
ES1, 1, 0.6521739130434783, 0.0, 0.6521739130434783
ES2, 2, 0.7142857142857143, 0.0, 0.7142857142857143
OB0, 3, 0.0, 1.0, 1.0
OB1, 1, 0.0, 0.4897959183673469, 0.4897959183673469
OB2, 1, 0.0, 0.5, 0.5
PM0, 4, 1.0, 0.0, 1.0
PM1, 3, 0.5, 0.5, 1.0
PM2, 3, 0.6666666666666666, 0.3333333333333333, 1.0
RS0, 4, 1.0, 0.0, 1.0
RS1, 2, 0.9230769230769231, 0.0, 0.9230769230769231
RS2, 1, 0.6666666666666666, 0.0, 0.6666666666666666
TE0, 0, 0.0, 0.0, 0.0
TE1, 0, 0.0, 0.0, 0.0
TE2, 0, 0.0, 0.0, 0.0
