model_name, GT, AUC, AUC_T, AUC_E, AUC_P, AUC_C, AUC_A
AC0, 4, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0
AC1, 1, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0
AC2, 4, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0
BA0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
BA1, 2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0
BA2, 2, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.0, 0.8333333333333334, 0.8333333333333334
CI0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
CI1, 2, 0.8571428571428571, 0.0, 0.0, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571
CI2, 3, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
CO0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
CO1, 2, 1.0, 0.0, 0.0, 1.0, 0.7, 0.7
CO2, 3, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
EP0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EP1, 3, 1.0, 0.5, 1.0, 0.0, 0.0, 1.0
EP2, 4, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0
ES0, 1, 0.4, 0.4, 0.4, 0.0, 0.0, 0.4
ES1, 1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333
ES2, 3, 1.0, 0.7142857142857143, 0.7142857142857143, 0.2857142857142857, 1.0, 1.0
OB0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
OB1, 1, 0.9285714285714286, 0.0, 0.42857142857142855, 0.5, 0.0, 0.42857142857142855
OB2, 3, 1.0, 0.0, 0.6666666666666666, 0.3333333333333333, 1.0, 1.0
PM0, 4, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0
PM1, 2, 1.0, 0.0, 0.0, 1.0, 0.375, 0.375
PM2, 3, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
RS0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
RS1, 2, 0.8333333333333334, 0.0, 0.8333333333333334, 0.0, 0.4166666666666667, 0.8333333333333334
RS2, 3, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
TE0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
TE1, 2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0
TE2, 1, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333
