model_name, GT, CMP, CNP, CCP
AC0, 1, 1.0, 0.5, 0.7058823529411765
AC1, 0, 1.0, 0.2727272727272727, 0.5789473684210527
AC2, 2, 1.0, 0.8571428571428571, 0.9090909090909091
BA0, 0, 1.0, 0.17647058823529413, 0.5
BA1, 0, 1.0, 0.3333333333333333, 0.5757575757575758
BA2, 0, 1.0, 0.375, 0.5833333333333334
CI0, 1, 1.0, 0.6666666666666666, 0.8
CI1, 1, 0.9166666666666666, 0.7142857142857143, 0.7878787878787878
CI2, 1, 0.8333333333333334, 0.782608695652174, 0.8
CO0, 0, 0.6153846153846154, 0.75, 0.6896551724137931
CO1, 1, 0.5833333333333334, 0.8421052631578947, 0.7419354838709677
CO2, 1, 0.5833333333333334, 0.8125, 0.7142857142857143
EP0, 1, 1.0, 0.7272727272727273, 0.8636363636363636
EP1, 1, 0.8125, 0.9090909090909091, 0.868421052631579
EP2, 2, 1.0, 0.8695652173913043, 0.9230769230769231
ES0, 1, 1.0, 0.7586206896551724, 0.851063829787234
ES1, 1, 1.0, 0.8108108108108109, 0.8727272727272727
ES2, 1, 1.0, 0.8, 0.8679245283018868
OB0, 3, 1.0, 1.0, 1.0
OB1, 2, 0.7692307692307693, 1.0, 0.9166666666666666
OB2, 2, 0.9230769230769231, 1.0, 0.9767441860465116
PM0, 0, 0.875, 0.6216216216216216, 0.6981132075471698
PM1, 1, 0.8888888888888888, 0.65, 0.7241379310344828
PM2, 0, 0.8823529411764706, 0.5882352941176471, 0.6862745098039216
RS0, 3, 1.0, 1.0, 1.0
RS1, 2, 0.9473684210526315, 1.0, 0.9803921568627451
RS2, 2, 0.7368421052631579, 1.0, 0.9056603773584906
TE0, 3, 1.0, 1.0, 1.0
TE1, 3, 1.0, 1.0, 1.0
TE2, 3, 1.0, 1.0, 1.0
